Date;Time;Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3
16/12/2006;18:00:00;2.790;0.180;237.520;11.800;0.000;0.000;18.000
16/12/2006;18:01:00;2.624;0.144;238.200;11.000;0.000;0.000;17.000
16/12/2006;18:02:00;2.772;0.118;238.280;11.600;0.000;0.000;17.000
16/12/2006;18:03:00;3.740;0.108;236.930;16.400;0.000;16.000;18.000
16/12/2006;18:04:00;4.928;0.202;235.010;21.000;0.000;37.000;16.000
16/12/2006;18:05:00;6.052;0.192;232.930;26.200;0.000;37.000;17.000
16/12/2006;18:06:00;6.752;0.186;232.120;29.000;0.000;36.000;17.000
16/12/2006;18:07:00;6.474;0.144;231.850;27.800;0.000;37.000;16.000
16/12/2006;18:08:00;6.308;0.116;232.250;27.000;0.000;36.000;17.000
16/12/2006;18:09:00;4.464;0.136;234.660;19.000;0.000;37.000;16.000
16/12/2006;18:10:00;3.396;0.148;236.200;15.000;0.000;22.000;18.000
16/12/2006;18:11:00;3.090;0.152;237.070;13.800;0.000;12.000;17.000
16/12/2006;18:12:00;3.730;0.144;235.780;16.400;0.000;27.000;17.000
16/12/2006;18:13:00;2.308;0.160;237.430;9.600;0.000;1.000;17.000
16/12/2006;18:14:00;2.388;0.158;237.260;10.000;0.000;1.000;17.000
16/12/2006;18:15:00;4.598;0.100;234.250;21.400;0.000;20.000;17.000
16/12/2006;18:16:00;4.524;0.076;234.200;19.600;0.000;9.000;17.000
16/12/2006;18:17:00;4.202;0.082;234.310;17.800;0.000;1.000;17.000
16/12/2006;18:18:00;4.472;0.000;233.290;19.200;0.000;1.000;16.000
16/12/2006;18:19:00;2.852;0.000;235.610;12.000;0.000;1.000;17.000
16/12/2006;18:20:00;2.928;0.000;235.250;12.400;0.000;1.000;17.000
16/12/2006;18:21:00;2.940;0.000;236.040;12.400;0.000;2.000;17.000
16/12/2006;18:22:00;2.934;0.000;235.510;12.400;0.000;1.000;17.000
16/12/2006;18:23:00;2.926;0.000;235.680;12.400;0.000;1.000;17.000
16/12/2006;18:24:00;3.452;0.000;235.200;15.200;0.000;1.000;17.000
16/12/2006;18:25:00;4.870;0.000;233.740;20.800;0.000;1.000;17.000
16/12/2006;18:26:00;4.868;0.000;233.840;20.800;0.000;1.000;17.000
16/12/2006;18:27:00;4.866;0.000;233.790;20.800;0.000;1.000;17.000
16/12/2006;18:28:00;3.176;0.000;235.500;13.800;0.000;1.000;17.000
16/12/2006;18:29:00;2.920;0.000;235.840;12.400;0.000;1.000;17.000
16/12/2006;18:30:00;2.930;0.000;236.150;12.400;0.000;1.000;17.000
16/12/2006;18:31:00;2.912;0.050;235.810;12.400;0.000;1.000;17.000
16/12/2006;18:32:00;2.608;0.052;235.410;11.000;0.000;1.000;17.000
16/12/2006;18:33:00;2.714;0.162;234.820;11.600;0.000;0.000;17.000
16/12/2006;18:34:00;3.538;0.086;233.760;15.600;0.000;1.000;16.000
16/12/2006;18:35:00;6.072;0.000;232.480;26.400;0.000;27.000;17.000
16/12/2006;18:36:00;4.536;0.000;233.540;19.400;0.000;1.000;17.000
16/12/2006;18:37:00;4.408;0.000;232.320;18.800;0.000;1.000;16.000
16/12/2006;18:38:00;2.912;0.048;234.020;13.000;0.000;1.000;17.000
16/12/2006;18:39:00;2.326;0.054;234.760;9.800;0.000;1.000;17.000
16/12/2006;18:40:00;2.264;0.054;234.670;9.600;0.000;1.000;17.000
16/12/2006;18:41:00;2.270;0.054;235.270;9.600;0.000;1.000;17.000
16/12/2006;18:42:00;2.258;0.054;235.120;9.600;0.000;1.000;17.000
16/12/2006;18:43:00;2.188;0.068;235.800;9.200;0.000;1.000;17.000
16/12/2006;18:44:00;2.978;0.166;234.810;13.200;0.000;1.000;17.000
16/12/2006;18:45:00;4.200;0.174;234.380;17.800;0.000;1.000;17.000
16/12/2006;18:46:00;4.204;0.186;234.200;17.800;0.000;1.000;16.000
16/12/2006;18:47:00;4.218;0.178;233.980;18.000;0.000;1.000;17.000
16/12/2006;18:48:00;2.786;0.188;234.990;12.000;0.000;2.000;17.000
16/12/2006;18:49:00;2.540;0.088;234.670;10.800;0.000;4.000;17.000
16/12/2006;18:50:00;2.496;0.080;233.920;10.600;0.000;3.000;17.000
16/12/2006;18:51:00;2.336;0.070;233.510;10.000;0.000;1.000;16.000
16/12/2006;18:52:00;2.322;0.000;233.440;9.800;0.000;0.000;17.000
16/12/2006;18:53:00;2.448;0.000;233.640;10.600;0.000;1.000;17.000
16/12/2006;18:54:00;4.298;0.000;232.390;18.400;0.000;1.000;16.000
16/12/2006;18:55:00;4.230;0.090;232.250;18.200;0.000;1.000;17.000
16/12/2006;18:56:00;4.230;0.090;232.320;18.200;0.000;2.000;16.000
16/12/2006;18:57:00;3.924;0.084;232.790;17.000;0.000;1.000;17.000
16/12/2006;18:58:00;4.218;0.090;232.090;18.000;0.000;1.000;17.000
16/12/2006;18:59:00;4.224;0.090;231.960;18.200;0.000;1.000;16.000
16/12/2006;19:00:00;4.070;0.088;231.990;17.400;0.000;1.000;17.000
16/12/2006;19:01:00;3.612;0.090;232.360;15.600;0.000;2.000;16.000
16/12/2006;19:02:00;3.458;0.090;232.710;14.800;0.000;1.000;17.000
16/12/2006;19:03:00;3.434;0.090;232.010;14.800;0.000;1.000;16.000
16/12/2006;19:04:00;3.366;0.000;232.780;14.400;0.000;1.000;17.000
16/12/2006;19:05:00;3.404;0.082;233.080;14.600;0.000;2.000;16.000
16/12/2006;19:06:00;3.382;0.074;233.690;14.400;0.000;0.000;17.000
16/12/2006;19:07:00;3.616;0.106;234.440;15.400;0.000;4.000;17.000
16/12/2006;19:08:00;3.476;0.092;234.600;14.800;0.000;3.000;17.000
16/12/2006;19:09:00;3.394;0.064;235.120;14.400;0.000;0.000;17.000
16/12/2006;19:10:00;3.400;0.000;234.280;14.400;0.000;1.000;17.000
16/12/2006;19:11:00;3.414;0.000;234.190;14.400;0.000;1.000;17.000
16/12/2006;19:12:00;3.432;0.000;234.690;14.600;0.000;1.000;16.000
16/12/2006;19:13:00;3.418;0.000;234.260;14.600;0.000;2.000;17.000
16/12/2006;19:14:00;3.392;0.000;233.300;14.400;0.000;1.000;17.000
16/12/2006;19:15:00;3.394;0.000;233.430;14.400;0.000;1.000;17.000
16/12/2006;19:16:00;3.394;0.000;233.450;14.400;0.000;1.000;16.000
16/12/2006;19:17:00;3.406;0.000;233.910;14.400;0.000;2.000;17.000
16/12/2006;19:18:00;3.420;0.000;234.430;14.600;0.000;1.000;17.000
16/12/2006;19:19:00;3.418;0.000;234.340;14.400;0.000;1.000;17.000
16/12/2006;19:20:00;3.422;0.052;234.580;14.600;0.000;1.000;17.000
16/12/2006;19:21:00;3.332;0.000;234.020;14.200;0.000;1.000;16.000
16/12/2006;19:22:00;3.316;0.046;234.290;14.000;0.000;1.000;17.000
16/12/2006;19:23:00;3.334;0.000;234.360;14.200;0.000;2.000;17.000
16/12/2006;19:24:00;3.262;0.052;232.640;14.000;0.000;0.000;17.000
16/12/2006;19:25:00;3.476;0.064;232.960;14.800;0.000;3.000;16.000
16/12/2006;19:26:00;3.620;0.090;233.470;15.400;0.000;5.000;17.000
16/12/2006;19:27:00;3.610;0.084;234.980;15.200;0.000;5.000;17.000
16/12/2006;19:28:00;3.646;0.138;234.340;15.400;0.000;5.000;17.000
16/12/2006;19:29:00;3.614;0.192;233.920;15.400;0.000;5.000;17.000
16/12/2006;19:30:00;3.408;0.162;233.940;14.400;0.000;2.000;16.000
16/12/2006;19:31:00;3.388;0.134;233.720;14.400;0.000;1.000;17.000
16/12/2006;19:32:00;3.372;0.132;233.200;14.400;0.000;2.000;17.000
16/12/2006;19:33:00;3.370;0.132;233.100;14.400;0.000;1.000;16.000
16/12/2006;19:34:00;3.342;0.120;232.290;14.400;0.000;1.000;17.000
16/12/2006;19:35:00;3.284;0.000;232.450;14.000;0.000;2.000;16.000
16/12/2006;19:36:00;3.276;0.000;231.970;14.000;0.000;1.000;17.000
16/12/2006;19:37:00;3.382;0.130;232.420;14.400;0.000;2.000;17.000
16/12/2006;19:38:00;3.418;0.160;233.380;14.600;0.000;1.000;16.000
16/12/2006;19:39:00;3.396;0.158;232.690;14.600;0.000;1.000;17.000
16/12/2006;19:40:00;3.406;0.158;233.200;14.600;0.000;2.000;16.000
16/12/2006;19:41:00;3.406;0.158;233.260;14.600;0.000;1.000;17.000
16/12/2006;19:42:00;3.392;0.156;232.840;14.400;0.000;1.000;17.000
16/12/2006;19:43:00;3.378;0.154;232.390;14.400;0.000;2.000;16.000
16/12/2006;19:44:00;3.368;0.154;232.140;14.400;0.000;1.000;17.000
16/12/2006;19:45:00;3.350;0.152;231.570;14.400;0.000;1.000;16.000
16/12/2006;19:46:00;3.352;0.152;231.660;14.400;0.000;2.000;17.000
16/12/2006;19:47:00;3.364;0.154;232.220;14.400;0.000;1.000;16.000
16/12/2006;19:48:00;3.380;0.156;232.810;14.400;0.000;1.000;17.000
16/12/2006;19:49:00;3.404;0.160;233.770;14.400;0.000;1.000;17.000
16/12/2006;19:50:00;3.378;0.156;232.820;14.400;0.000;2.000;16.000
16/12/2006;19:51:00;3.388;0.158;233.220;14.400;0.000;1.000;17.000
16/12/2006;19:52:00;3.376;0.156;232.840;14.400;0.000;1.000;17.000
16/12/2006;19:53:00;3.254;0.000;232.750;13.800;0.000;0.000;16.000
16/12/2006;19:54:00;3.214;0.078;232.640;13.800;0.000;0.000;17.000
16/12/2006;19:55:00;3.202;0.078;232.200;13.800;0.000;0.000;16.000
16/12/2006;19:56:00;3.202;0.078;232.200;13.800;0.000;0.000;17.000
16/12/2006;19:57:00;3.212;0.078;232.580;13.800;0.000;0.000;16.000
16/12/2006;19:58:00;3.206;0.078;232.400;13.800;0.000;0.000;17.000
16/12/2006;19:59:00;3.214;0.078;232.660;13.800;0.000;0.000;17.000
16/12/2006;20:00:00;3.206;0.078;232.430;13.800;0.000;0.000;16.000
16/12/2006;20:01:00;3.222;0.078;233.020;13.800;0.000;0.000;17.000
16/12/2006;20:02:00;3.216;0.076;232.800;13.800;0.000;0.000;16.000
16/12/2006;20:03:00;3.216;0.078;232.790;13.800;0.000;0.000;17.000
16/12/2006;20:04:00;3.194;0.078;231.980;13.600;0.000;0.000;16.000
16/12/2006;20:05:00;3.278;0.000;232.880;14.000;0.000;0.000;17.000
16/12/2006;20:06:00;3.282;0.000;232.520;14.000;0.000;0.000;17.000
16/12/2006;20:07:00;3.292;0.000;232.870;14.000;0.000;0.000;16.000
16/12/2006;20:08:00;3.316;0.000;233.780;14.000;0.000;0.000;17.000
16/12/2006;20:09:00;3.370;0.080;233.690;14.400;0.000;0.000;17.000
16/12/2006;20:10:00;3.420;0.144;234.040;14.600;0.000;0.000;17.000
16/12/2006;20:11:00;3.410;0.142;233.930;14.600;0.000;0.000;16.000
16/12/2006;20:12:00;3.400;0.140;233.620;14.400;0.000;0.000;17.000
16/12/2006;20:13:00;3.400;0.140;233.640;14.400;0.000;0.000;17.000
16/12/2006;20:14:00;3.388;0.140;233.260;14.400;0.000;0.000;16.000
16/12/2006;20:15:00;3.370;0.086;233.900;14.400;0.000;0.000;17.000
16/12/2006;20:16:00;3.332;0.000;233.680;14.200;0.000;0.000;17.000
16/12/2006;20:17:00;3.310;0.000;232.830;14.200;0.000;0.000;17.000
16/12/2006;20:18:00;3.312;0.000;233.000;14.200;0.000;0.000;16.000
16/12/2006;20:19:00;3.314;0.000;233.080;14.200;0.000;0.000;17.000
16/12/2006;20:20:00;3.302;0.000;232.690;14.200;0.000;0.000;16.000
16/12/2006;20:21:00;3.302;0.000;232.910;14.000;0.000;0.000;17.000
16/12/2006;20:22:00;3.300;0.000;232.870;14.000;0.000;0.000;17.000
16/12/2006;20:23:00;3.290;0.000;232.420;14.000;0.000;0.000;16.000
16/12/2006;20:24:00;3.286;0.000;232.310;14.000;0.000;0.000;17.000
16/12/2006;20:25:00;3.230;0.052;232.790;13.800;0.000;0.000;16.000
16/12/2006;20:26:00;3.218;0.078;233.050;13.800;0.000;0.000;17.000
16/12/2006;20:27:00;3.258;0.076;234.570;13.800;0.000;0.000;17.000
16/12/2006;20:28:00;3.264;0.076;234.790;13.800;0.000;0.000;17.000
16/12/2006;20:29:00;3.260;0.076;234.600;13.800;0.000;0.000;17.000
16/12/2006;20:30:00;3.262;0.076;234.540;13.800;0.000;0.000;17.000
16/12/2006;20:31:00;3.264;0.076;234.600;13.800;0.000;0.000;16.000
16/12/2006;20:32:00;3.238;0.076;233.770;13.800;0.000;0.000;17.000
16/12/2006;20:33:00;3.228;0.078;233.500;13.800;0.000;0.000;17.000
16/12/2006;20:34:00;3.222;0.078;233.270;13.800;0.000;0.000;17.000
16/12/2006;20:35:00;3.226;0.078;233.370;13.800;0.000;0.000;16.000
16/12/2006;20:36:00;3.206;0.078;232.640;13.600;0.000;0.000;17.000
16/12/2006;20:37:00;3.188;0.080;231.950;13.600;0.000;0.000;16.000
16/12/2006;20:38:00;3.196;0.080;232.210;13.600;0.000;0.000;17.000
16/12/2006;20:39:00;3.204;0.078;232.500;13.600;0.000;0.000;16.000
16/12/2006;20:40:00;3.232;0.078;233.630;13.800;0.000;0.000;17.000
16/12/2006;20:41:00;3.254;0.074;234.430;13.800;0.000;0.000;17.000
16/12/2006;20:42:00;3.376;0.050;234.630;14.400;0.000;0.000;17.000
16/12/2006;20:43:00;3.372;0.048;235.050;14.200;0.000;0.000;17.000
16/12/2006;20:44:00;3.366;0.048;234.960;14.200;0.000;0.000;17.000
16/12/2006;20:45:00;3.386;0.050;235.770;14.200;0.000;0.000;17.000
16/12/2006;20:46:00;3.496;0.146;236.760;14.800;0.000;0.000;17.000
16/12/2006;20:47:00;3.426;0.146;234.590;14.600;0.000;0.000;17.000
16/12/2006;20:48:00;3.440;0.148;235.130;14.600;0.000;0.000;17.000
16/12/2006;20:49:00;3.440;0.146;235.140;14.600;0.000;0.000;17.000
16/12/2006;20:50:00;3.454;0.150;235.750;14.600;0.000;0.000;17.000
16/12/2006;20:51:00;3.450;0.150;235.690;14.600;0.000;0.000;17.000
16/12/2006;20:52:00;3.480;0.154;236.860;14.600;0.000;0.000;17.000
16/12/2006;20:53:00;3.474;0.152;236.720;14.600;0.000;0.000;17.000
16/12/2006;20:54:00;3.456;0.150;236.050;14.600;0.000;0.000;17.000
16/12/2006;20:55:00;1.832;0.170;237.540;8.400;0.000;0.000;17.000
16/12/2006;20:56:00;2.044;0.102;237.440;9.400;0.000;0.000;18.000
16/12/2006;20:57:00;3.354;0.000;237.000;14.000;0.000;0.000;17.000
16/12/2006;20:58:00;3.282;0.074;235.550;13.800;0.000;0.000;17.000
16/12/2006;20:59:00;3.308;0.074;236.510;14.000;0.000;0.000;17.000
16/12/2006;21:00:00;3.314;0.072;236.760;14.000;0.000;0.000;17.000
16/12/2006;21:01:00;3.306;0.072;237.110;13.800;0.000;0.000;17.000
16/12/2006;21:02:00;1.692;0.054;238.720;7.800;0.000;0.000;18.000
16/12/2006;21:03:00;3.342;0.070;237.660;14.000;0.000;0.000;17.000
16/12/2006;21:04:00;3.354;0.070;238.200;14.000;0.000;0.000;17.000
16/12/2006;21:05:00;3.334;0.072;237.460;14.000;0.000;0.000;18.000
16/12/2006;21:06:00;3.330;0.072;237.360;14.000;0.000;0.000;17.000
16/12/2006;21:07:00;2.740;0.064;238.130;12.000;0.000;0.000;17.000
16/12/2006;21:08:00;2.188;0.060;237.740;10.000;0.000;0.000;18.000
16/12/2006;21:09:00;3.330;0.070;237.260;14.000;0.000;0.000;17.000

20/12/2006;18:59:00;3.186;0.116;236.930;13.400;0.000;0.000;17.000
20/12/2006;19:00:00;3.174;0.116;236.510;13.400;0.000;0.000;17.000
20/12/2006;19:01:00;3.196;0.122;237.550;13.400;0.000;0.000;17.000
20/12/2006;19:02:00;3.196;0.122;237.780;13.400;0.000;0.000;18.000
20/12/2006;19:03:00;3.152;0.000;238.640;13.200;0.000;0.000;17.000
20/12/2006;19:04:00;3.150;0.000;238.960;13.200;0.000;0.000;18.000
20/12/2006;19:05:00;3.112;0.000;237.210;13.000;0.000;0.000;17.000
20/12/2006;19:06:00;3.100;0.000;236.310;13.000;0.000;0.000;17.000
20/12/2006;19:07:00;3.122;0.000;237.340;13.200;0.000;0.000;17.000
20/12/2006;19:08:00;3.146;0.000;238.740;13.200;0.000;0.000;18.000
20/12/2006;19:09:00;3.140;0.000;238.640;13.200;0.000;0.000;17.000
20/12/2006;19:10:00;3.116;0.000;237.530;13.000;0.000;0.000;18.000
20/12/2006;19:11:00;3.090;0.000;236.290;13.000;0.000;0.000;17.000
20/12/2006;19:12:00;3.194;0.114;236.710;13.400;0.000;0.000;17.000
20/12/2006;19:13:00;3.218;0.148;237.240;13.600;0.000;0.000;17.000
20/12/2006;19:14:00;3.234;0.152;238.020;13.600;0.000;0.000;17.000
20/12/2006;19:15:00;3.222;0.150;237.600;13.600;0.000;0.000;18.000
20/12/2006;19:16:00;3.202;0.148;236.810;13.400;0.000;0.000;17.000
20/12/2006;19:17:00;3.202;0.142;236.610;13.400;0.000;0.000;17.000
20/12/2006;19:18:00;3.246;0.136;237.880;13.600;0.000;0.000;17.000
20/12/2006;19:19:00;3.264;0.140;238.620;13.600;0.000;0.000;18.000
20/12/2006;19:20:00;3.424;0.134;238.010;14.400;0.000;0.000;17.000
20/12/2006;19:21:00;3.216;0.136;237.520;13.400;0.000;0.000;18.000
20/12/2006;19:22:00;3.226;0.138;238.070;13.600;0.000;0.000;17.000
20/12/2006;19:23:00;3.240;0.142;238.750;13.600;0.000;0.000;17.000
20/12/2006;19:24:00;3.224;0.138;238.140;13.400;0.000;0.000;18.000
20/12/2006;19:25:00;3.306;0.128;236.760;14.000;0.000;0.000;17.000
20/12/2006;19:26:00;3.422;0.086;236.440;14.400;0.000;0.000;17.000
20/12/2006;19:27:00;3.254;0.000;236.240;13.800;0.000;0.000;17.000
20/12/2006;19:28:00;2.782;0.000;236.590;11.800;0.000;0.000;17.000
20/12/2006;19:29:00;2.578;0.000;236.140;10.800;0.000;0.000;17.000
20/12/2006;19:30:00;2.432;0.000;236.430;10.200;0.000;0.000;18.000
20/12/2006;19:31:00;2.442;0.000;236.000;10.200;0.000;0.000;17.000
20/12/2006;19:32:00;2.560;0.050;236.000;10.800;0.000;0.000;17.000
20/12/2006;19:33:00;2.484;0.092;236.170;10.400;0.000;0.000;17.000
20/12/2006;19:34:00;2.488;0.092;236.220;10.400;0.000;0.000;17.000
20/12/2006;19:35:00;2.484;0.090;235.990;10.400;0.000;0.000;17.000
20/12/2006;19:36:00;2.482;0.096;235.950;10.400;0.000;0.000;17.000
20/12/2006;19:37:00;2.484;0.112;236.880;10.400;0.000;0.000;17.000
20/12/2006;19:38:00;2.628;0.124;237.140;11.000;0.000;0.000;17.000
20/12/2006;19:39:00;2.862;0.116;236.940;12.000;0.000;0.000;18.000
20/12/2006;19:40:00;2.850;0.114;236.990;12.000;0.000;0.000;17.000
20/12/2006;19:41:00;2.802;0.074;237.330;11.800;0.000;0.000;17.000
20/12/2006;19:42:00;3.146;0.000;237.400;13.200;0.000;0.000;17.000
20/12/2006;19:43:00;3.300;0.000;236.900;13.800;0.000;0.000;18.000
20/12/2006;19:44:00;3.302;0.000;236.000;14.000;0.000;0.000;17.000
20/12/2006;19:45:00;3.312;0.000;236.120;14.000;0.000;0.000;17.000
20/12/2006;19:46:00;3.038;0.000;235.860;12.800;0.000;0.000;17.000
20/12/2006;19:47:00;3.048;0.000;236.160;12.800;0.000;0.000;17.000
20/12/2006;19:48:00;3.052;0.000;236.900;12.800;0.000;0.000;17.000
20/12/2006;19:49:00;4.806;0.000;234.890;21.200;0.000;0.000;17.000
20/12/2006;19:50:00;5.672;0.000;233.810;24.200;0.000;0.000;17.000
20/12/2006;19:51:00;5.742;0.066;233.430;24.600;0.000;0.000;16.000
20/12/2006;19:52:00;5.760;0.098;233.530;24.600;0.000;0.000;17.000
20/12/2006;19:53:00;4.758;0.110;235.510;21.000;0.000;0.000;17.000
20/12/2006;19:54:00;3.128;0.120;236.340;13.200;0.000;0.000;17.000
20/12/2006;19:55:00;3.338;0.304;236.000;14.200;0.000;0.000;17.000
20/12/2006;19:56:00;3.350;0.310;235.870;14.200;0.000;0.000;17.000
20/12/2006;19:57:00;3.344;0.306;236.040;14.200;0.000;0.000;17.000
20/12/2006;19:58:00;3.350;0.302;236.450;14.200;0.000;0.000;18.000
20/12/2006;19:59:00;3.326;0.294;235.490;14.000;0.000;0.000;17.000
20/12/2006;20:00:00;3.362;0.292;235.510;14.200;0.000;0.000;17.000
20/12/2006;20:01:00;3.314;0.288;235.350;14.000;0.000;0.000;17.000
20/12/2006;20:02:00;3.314;0.288;235.340;14.000;0.000;0.000;17.000
20/12/2006;20:03:00;3.326;0.288;235.880;14.000;0.000;0.000;17.000
20/12/2006;20:04:00;3.338;0.288;236.590;14.000;0.000;0.000;17.000
20/12/2006;20:05:00;3.264;0.220;235.310;13.800;0.000;0.000;17.000
20/12/2006;20:06:00;3.202;0.152;234.670;13.600;0.000;0.000;17.000
20/12/2006;20:07:00;3.362;0.152;236.000;14.200;0.000;0.000;17.000
20/12/2006;20:08:00;3.448;0.150;235.970;14.600;0.000;0.000;17.000
20/12/2006;20:09:00;3.370;0.246;236.340;14.200;0.000;0.000;17.000
20/12/2006;20:10:00;3.316;0.252;236.480;14.000;0.000;0.000;17.000
20/12/2006;20:11:00;4.240;0.482;236.090;18.200;0.000;0.000;17.000
20/12/2006;20:12:00;4.406;0.446;235.260;18.800;0.000;0.000;17.000
20/12/2006;20:13:00;4.370;0.404;235.510;18.600;0.000;0.000;17.000
20/12/2006;20:14:00;4.070;0.390;236.000;17.400;0.000;0.000;17.000
20/12/2006;20:15:00;4.018;0.370;235.990;17.000;0.000;0.000;17.000
20/12/2006;20:16:00;2.684;0.204;235.710;11.600;0.000;0.000;17.000
20/12/2006;20:17:00;2.606;0.186;235.850;11.000;0.000;0.000;17.000
20/12/2006;20:18:00;3.652;0.280;234.600;16.000;0.000;0.000;17.000
20/12/2006;20:19:00;4.332;0.308;234.730;18.400;0.000;0.000;17.000
20/12/2006;20:20:00;4.230;0.292;234.410;18.000;0.000;0.000;17.000
20/12/2006;20:21:00;4.124;0.262;234.750;17.600;0.000;0.000;17.000
20/12/2006;20:22:00;3.980;0.282;234.710;17.200;0.000;0.000;17.000
20/12/2006;20:23:00;4.246;0.306;233.910;18.400;0.000;0.000;17.000
20/12/2006;20:24:00;3.304;0.324;235.900;14.000;0.000;0.000;17.000
20/12/2006;20:25:00;3.128;0.186;235.970;13.200;0.000;1.000;17.000
20/12/2006;20:26:00;3.840;0.264;235.070;16.600;0.000;2.000;17.000
20/12/2006;20:27:00;4.492;0.288;234.530;19.200;0.000;1.000;17.000
20/12/2006;20:28:00;3.726;0.232;236.390;16.000;0.000;1.000;17.000
20/12/2006;20:29:00;3.184;0.204;237.890;13.400;0.000;2.000;17.000
20/12/2006;20:30:00;3.270;0.318;237.840;13.800;0.000;1.000;17.000
20/12/2006;20:31:00;3.244;0.314;237.250;13.600;0.000;2.000;18.000
20/12/2006;20:32:00;3.230;0.310;236.870;13.600;0.000;1.000;17.000
20/12/2006;20:33:00;3.254;0.314;237.010;13.800;0.000;1.000;17.000
20/12/2006;20:34:00;3.674;0.306;236.890;15.400;0.000;2.000;17.000
20/12/2006;20:35:00;3.316;0.310;236.770;14.000;0.000;1.000;17.000
20/12/2006;20:36:00;3.572;0.308;237.000;15.000;0.000;1.000;18.000
20/12/2006;20:37:00;3.472;0.314;237.870;14.600;0.000;2.000;17.000
20/12/2006;20:38:00;3.372;0.320;238.500;14.200;0.000;1.000;17.000
20/12/2006;20:39:00;3.682;0.316;237.860;15.400;0.000;1.000;18.000
20/12/2006;20:40:00;3.530;0.316;237.360;14.800;0.000;2.000;17.000
20/12/2006;20:41:00;3.080;0.324;237.900;13.000;0.000;1.000;17.000
20/12/2006;20:42:00;3.068;0.318;238.150;12.800;0.000;1.000;18.000
20/12/2006;20:43:00;3.026;0.390;237.050;12.800;0.000;1.000;17.000
20/12/2006;20:44:00;3.692;0.324;236.540;15.600;0.000;2.000;17.000
20/12/2006;20:45:00;3.712;0.286;236.850;15.600;0.000;1.000;17.000
20/12/2006;20:46:00;3.730;0.288;237.310;15.600;0.000;1.000;17.000
20/12/2006;20:47:00;3.736;0.286;237.360;15.800;0.000;1.000;18.000
20/12/2006;20:48:00;3.688;0.198;238.090;15.400;0.000;1.000;17.000
20/12/2006;20:49:00;3.684;0.174;237.780;15.400;0.000;0.000;17.000
20/12/2006;20:50:00;3.650;0.172;237.090;15.400;0.000;0.000;18.000
